Billing Date,Route,Sold-to party
13-08-15,2809,716
13-08-15,2809,757
13-08-15,2809,799
13-08-15,2809,13720
13-08-15,2810,705
13-08-15,2810,719
13-08-15,2810,745
13-08-15,2810,771
13-08-15,2810,1701
13-08-15,2811,21
13-08-15,2811,35
13-08-15,2811,44
13-08-15,2811,77
13-08-15,2811,92
13-08-15,2811,10010
13-08-15,2811,10023
13-08-15,2812,7
13-08-15,2812,17
13-08-15,2812,25
13-08-15,2812,26
13-08-15,2812,31
13-08-15,2812,52
13-08-15,2812,87
13-08-15,2812,727
13-08-15,2812,1008
13-08-15,2812,19007
13-08-15,2813,1
13-08-15,2813,3
13-08-15,2813,6
13-08-15,2813,34
13-08-15,2813,39
13-08-15,2813,53
13-08-15,2813,54
13-08-15,2813,93
13-08-15,2813,96
13-08-15,2814,42
13-08-15,2814,43
13-08-15,2814,63
13-08-15,2814,80
13-08-15,2814,81
13-08-15,2814,83
13-08-15,2814,10082
13-08-15,2814,10083
13-08-15,2815,958
13-08-15,2815,966
13-08-15,2815,967
13-08-15,2815,969
13-08-15,2815,970
13-08-15,2815,971
13-08-15,2815,974
13-08-15,2815,976
13-08-15,2815,980
13-08-15,2815,18007
13-08-15,2816,704
13-08-15,2816,717
13-08-15,2816,734
13-08-15,2816,765
13-08-15,2817,401
13-08-15,2817,405
13-08-15,2817,411
13-08-15,2817,412
13-08-15,2817,417
13-08-15,2818,709
13-08-15,2818,873
13-08-15,2818,874
13-08-15,2818,10765
13-08-15,2818,10766
13-08-15,2818,18794
13-08-15,2819,15
13-08-15,2819,46
13-08-15,2819,59
13-08-15,2819,94
13-08-15,2819,210
13-08-15,2819,240
13-08-15,2819,1006
13-08-15,2819,10033
13-08-15,2901,16808
13-08-15,2901,16830
13-08-15,2901,23815
13-08-15,2901,23822
13-08-15,2901,23824
13-08-15,2901,23829
13-08-15,2901,23842
13-08-15,2901,24794
13-08-15,2901,26805
13-08-15,2901,26807
13-08-15,2901,26844
13-08-15,2901,27807
13-08-15,2901,27846
13-08-15,2901,28801
13-08-15,2901,28814
13-08-15,2902,23803
13-08-15,2902,23812
13-08-15,2902,23817
13-08-15,2902,23843
13-08-15,2902,26822
13-08-15,2902,26832
13-08-15,2902,26843
13-08-15,2902,27801
13-08-15,2902,27803
13-08-15,2902,27826
13-08-15,2902,27836
13-08-15,2902,27837
13-08-15,2902,27850
13-08-15,2902,28804
13-08-15,2902,28815
13-08-15,2902,28819
13-08-15,2911,13719
13-08-15,2911,13739
13-08-15,2911,16723
13-08-15,2911,16749
13-08-15,2911,16753
13-08-15,2911,23781
13-08-15,2911,28719
13-08-15,2911,28736
13-08-15,2912,13744
13-08-15,2912,16748
13-08-15,2912,16755
13-08-15,2912,23789
13-08-15,2912,23791
13-08-15,2912,24752
13-08-15,2912,26704
13-08-15,2912,26759
13-08-15,2912,29777
13-08-15,2912,30749
13-08-15,2912,30755
13-08-15,2913,13742
13-08-15,2913,16729
13-08-15,2913,16731
13-08-15,2913,16783
13-08-15,2913,23734
13-08-15,2913,23747
13-08-15,2913,27739
13-08-15,2913,27794
13-08-15,2913,28792
13-08-15,2913,29787
13-08-15,2913,29794
13-08-15,2914,12854
13-08-15,2914,12862
13-08-15,2914,12874
13-08-15,2914,13723
13-08-15,2914,13749
13-08-15,2914,13753
13-08-15,2914,13754
13-08-15,2914,16841
13-08-15,2914,23704
13-08-15,2914,25702
13-08-15,2914,26751
13-08-15,2914,26755
13-08-15,2915,10701
13-08-15,2915,13758
13-08-15,2915,16772
13-08-15,2915,24732
13-08-15,2915,26767
13-08-15,2915,27756
13-08-15,2915,27782
13-08-15,2915,28702
13-08-15,2915,29708
13-08-15,2915,30770
