Billing Date,Route,Sold-to party
20-08-15,2427,17955
20-08-15,2427,26968
20-08-15,2427,26987
20-08-15,2427,27980
20-08-15,2427,28966
20-08-15,2427,28987
20-08-15,2427,28992
20-08-15,2427,28998
20-08-15,2427,29952
20-08-15,2428,13051
20-08-15,2428,13966
20-08-15,2428,13981
20-08-15,2428,16083
20-08-15,2428,26959
20-08-15,2428,27971
20-08-15,2428,27974
20-08-15,2428,27979
20-08-15,2428,27984
20-08-15,2428,27996
20-08-15,2428,28958
20-08-15,2428,28968
20-08-15,2428,28969
20-08-15,2428,28984
20-08-15,2428,29951
20-08-15,2428,29953
20-08-15,2428,29954
20-08-15,2429,761
20-08-15,2429,24736
20-08-15,2429,24761
20-08-15,2429,27726
20-08-15,2429,29778
20-08-15,2429,29795
20-08-15,2429,30723
20-08-15,2429,30725
20-08-15,2429,30780
20-08-15,2430,13003
20-08-15,2430,13044
20-08-15,2430,16005
20-08-15,2430,16019
20-08-15,2430,16050
20-08-15,2430,17004
20-08-15,2430,23032
20-08-15,2430,23037
20-08-15,2430,23055
20-08-15,2430,23090
20-08-15,2430,23092
20-08-15,2430,24074
20-08-15,2430,26028
20-08-15,2430,28016
20-08-15,2430,28020
20-08-15,2431,13731
20-08-15,2431,13755
20-08-15,2431,16732
20-08-15,2431,16746
20-08-15,2431,23786
20-08-15,2431,23788
20-08-15,2431,27702
20-08-15,2431,27754
20-08-15,2431,28767
20-08-15,2431,29738
20-08-15,2431,29747
20-08-15,2431,29767
20-08-15,2431,29774
20-08-15,2431,30702
20-08-15,2432,16590
20-08-15,2432,23551
20-08-15,2432,24502
20-08-15,2432,24571
20-08-15,2432,24573
20-08-15,2432,24574
20-08-15,2432,25557
20-08-15,2432,26506
20-08-15,2432,26575
20-08-15,2432,26596
20-08-15,2432,27560
20-08-15,2432,28502
20-08-15,2432,28529
20-08-15,2432,29515
20-08-15,2432,30562
20-08-15,2433,16704
20-08-15,2433,16713
20-08-15,2433,23727
20-08-15,2433,24706
20-08-15,2433,24716
20-08-15,2433,26735
20-08-15,2433,27716
20-08-15,2433,27764
20-08-15,2433,27771
20-08-15,2433,29717
20-08-15,2433,30701
20-08-15,2434,2
20-08-15,2434,40
20-08-15,2434,13017
20-08-15,2434,16001
20-08-15,2434,17014
20-08-15,2434,17040
20-08-15,2434,27046
20-08-15,2434,28004
20-08-15,2439,10627
20-08-15,2501,624
20-08-15,2501,644
20-08-15,2501,687
20-08-15,2501,690
20-08-15,2501,691
20-08-15,2501,699
20-08-15,2501,1602
20-08-15,2501,13610
20-08-15,2501,16678
20-08-15,2502,204
20-08-15,2502,220
20-08-15,2502,609
20-08-15,2502,610
20-08-15,2502,622
20-08-15,2502,684
20-08-15,2502,694
20-08-15,2502,696
20-08-15,2503,119
20-08-15,2503,127
20-08-15,2503,211
20-08-15,2503,214
20-08-15,2503,910
20-08-15,2503,911
20-08-15,2503,914
20-08-15,2503,925
20-08-15,2503,926
20-08-15,2503,927
20-08-15,2503,928
20-08-15,2503,933
20-08-15,2503,18173
20-08-15,2504,238
20-08-15,2504,626
20-08-15,2504,627
20-08-15,2504,664
20-08-15,2504,675
20-08-15,2504,677
20-08-15,2504,695
20-08-15,2504,1611
20-08-15,2504,19605
20-08-15,2505,421
20-08-15,2505,549
20-08-15,2505,630
20-08-15,2505,637
20-08-15,2505,643
20-08-15,2505,673
20-08-15,2505,674
20-08-15,2505,18591
20-08-15,2506,33
20-08-15,2506,85
20-08-15,2506,91
20-08-15,2506,752
20-08-15,2506,909
20-08-15,2506,912
20-08-15,2506,913
20-08-15,2506,916
20-08-15,2506,917
20-08-15,2506,918
20-08-15,2506,929
20-08-15,2506,16901
20-08-15,2507,360
20-08-15,2507,526
20-08-15,2507,540
20-08-15,2507,542
20-08-15,2507,780
20-08-15,2507,797
20-08-15,2507,1703
20-08-15,2507,16720
20-08-15,2508,565
20-08-15,2508,618
20-08-15,2508,638
20-08-15,2508,671
20-08-15,2508,680
20-08-15,2508,685
20-08-15,2509,10627
20-08-15,2801,861
20-08-15,2801,862
20-08-15,2801,866
20-08-15,2801,869
20-08-15,2801,872
20-08-15,2801,875
20-08-15,2801,877
20-08-15,2801,879
20-08-15,2801,881
20-08-15,2801,882
20-08-15,2801,18884
20-08-15,2802,804
20-08-15,2802,806
20-08-15,2802,810
